Source,Benchmark,Data Size,Sequential,Spark Gen,Spark Gen Speedup,Max Speedup,Spark Manual,Spark Manual Speedup,,,,
,,,0:35:56,0:02:47,12.91,,0:02:49,12.76,,,,
,,50GB,1:11:55,0:04:05,17.61,,0:04:12,17.12,,,,
,,,1:11:51,0:04:01,17.89,,0:04:03,17.74,,,,
,,75GB,1:47:44,0:05:56,18.16,,0:06:13,17.33,,,,
,,,1:47:50,0:05:51,18.43,,0:05:51,18.43,,,,
,Regression Sum of Squares,25GB,0:14:31,0:01:01,14.27,17.42,0:01:09,12.62,,,,
,,,0:14:40,0:01:04,13.74,,0:01:04,13.74,,,,
,,50GB,0:29:11,0:01:48,16.22,,0:01:49,16.07,,,,
,,,0:29:05,0:01:49,16.01,,0:01:55,15.17,,,,
,,75GB,0:43:33,0:02:30,17.42,,0:02:30,17.42,,,,
,,,0:43:41,0:02:33,17.13,,0:02:29,17.59,,,,
,Variance,25GB,0:14:44,0:01:04,13.8,17.52,0:01:04,13.8,,,,
,,,0:14:41,0:01:04,13.77,,0:01:07,13.15,,,,
,,50GB,0:29:23,0:01:47,16.48,,0:01:48,16.33,,,,
,,,0:29:22,0:01:48,16.32,,0:01:48,16.32,,,,
,,75GB,0:44:02,0:02:36,16.94,,0:02:31,17.5,,,,
,,,0:44:05,0:02:31,17.52,,0:02:32,17.4,,,,
MOLD,KMeans: Square Distance,12GB + 12GB = 25GB,0:13:57,0:01:08,12.32,15.82,0:01:08,12.32,,,,
,,,0:13:56,0:01:10,11.94,,0:01:09,12.11,,,,
,,25GB + 25GB = 50GB,0:29:30,0:02:00,14.75,,0:02:00,14.75,,,,
,,,0:29:43,0:02:01,14.73,,0:02:00,14.86,,,,
,,37GB + 37GB = 75GB,0:43:31,0:02:55,14.92,,0:02:47,15.63,,,,
,,,0:43:46,0:02:46,15.82,,0:02:43,16.11,,,,
,KMeans: Vector Add,12GB + 12GB = 25GB,0:21:19,0:01:51,11.52,15.35,0:01:48,11.84,,,,
,,,0:21:33,0:01:47,12.09,,0:01:44,12.44,,,,
,,25GB + 25GB = 50GB,0:44:43,0:03:13,13.9,,0:04:01,11.13,,,,
,,,0:44:38,0:03:32,12.63,,0:03:05,14.48,,,,
,,37GB + 37GB = 75GB,1:06:15,0:04:19,15.35,,0:04:29,14.78,,,,
,,,1:05:29,0:04:17,15.29,,0:04:24,14.88,,,,
,PCA: Row-Wise Mean,25GB,0:24:53,0:01:22,18.21,24.23,0:01:18,19.14,,,,
,,,0:24:57,0:01:21,18.48,,0:01:22,18.26,,,,
,,50GB,0:50:55,0:02:13,22.97,,0:02:16,22.46,,,,
,,,0:51:23,0:02:18,22.34,,0:02:13,23.18,,,,
,,75GB,1:15:48,0:03:08,24.19,,0:03:13,23.56,,,,
,,,1:16:20,0:03:09,24.23,,0:03:07,24.49,,,,
,String Match,25GB,0:07:30,0:00:48,9.38,12.89,0:00:51,8.83,,,,
,,,0:07:34,0:00:52,8.72,,0:00:49,9.26,,,,
,,50GB,0:15:22,0:01:17,11.97,,0:01:20,11.52,,,,
,,,0:15:22,0:01:18,11.82,,0:01:21,11.38,,,,
,,75GB,0:22:59,0:01:47,12.89,,0:01:52,12.31,,,,
,,,0:23:09,0:01:53,12.29,,0:01:55,12.08,,,,
,Word Count,25GB,0:14:14,0:01:19,10.81,14.24,0:01:15,11.39,,,,
,,,0:14:18,0:01:17,11.15,,0:01:17,11.15,,,,
,,50GB,0:28:37,0:02:12,13.01,,0:02:05,13.73,,,,
,,,0:28:32,0:02:06,13.58,,0:02:05,13.69,,,,
,,75GB,0:42:43,0:03:00,14.24,,0:02:52,14.9,,,,
,,,0:42:34,0:03:05,13.8,,0:02:53,14.76,,,,
,Linear Regression,25GB,0:18:13,0:00:52,21.02,32.21,0:00:50,21.86,,,,
